stableEdge,priv_auto,on_demand,carpool,walking,biking,total,direction,streetName,Year,Type,yearbinary,treatment
"916114753496568562",1021,97,1275,143,2060,4612,W,G Street Northwest,2022,Controls,1,0
"11814845968186911308",554,63,537,215,218,1792,W,E Street Northwest,2022,Controls,1,0
"3944874297681099532",95,22,146,827,926,2017,W,N Street Northwest,2022,Study Area,1,2
"2679317459897825722",321,25,281,360,887,1960,W,V Street Northwest,2022,Controls,1,0
"11571596864903671121",0,0,0,103,0,103,W,R Street Northwest,2022,Controls,1,0
"11877155330707891154",744,107,692,58,50,1672,W,G Street Northwest,2022,Study Area,1,2
"7732207519159197477",812,115,910,41,58,1953,W,G Street Northwest,2022,Study Area,1,2
"7636102557921896802",339,40,314,411,870,2220,W,I Street Southwest,2022,Controls,1,0
"13138908029803681307",212,21,299,150,618,1337,W,G Street Northwest,2022,Controls,1,0
"8561083991172491785",176,19,412,721,435,2236,W,K Street Northwest (access road),2022,Controls,1,0
"9477049648219459817",543,61,671,99,318,1700,W,D Street Northwest,2022,Controls,1,0
"11878024490533114349",919,106,575,296,93,2201,W,E Street Northwest,2022,Study Area,1,2
"13468171022574463786",809,59,301,419,331,1992,W,D Street Northwest,2022,Controls,1,0
"13057130546369081906",753,89,459,307,602,2232,W,I Street Southwest,2022,Controls,1,0
"4413723599683185794",605,63,486,199,538,1891,W,G Street Northwest,2022,Study Area,1,2
"9557726504981491789",243,24,146,66,121,611,W,E Street Southeast,2022,Controls,1,0
"6982035866519822581",236,22,166,1221,528,2205,W,V Street Northwest,2022,Controls,1,0
"16788249462171239953",436,55,347,311,803,1968,W,I Street Southwest,2022,Controls,1,0
"5405153040822370961",522,122,731,230,340,2007,W,R Street Northwest,2022,Controls,1,0
"18242660970910617971",437,67,476,234,272,1709,W,E Street Northwest,2022,Study Area,1,2
"11336365501352818198",459,87,1432,186,255,2480,W,D Street Northwest,2022,Controls,1,0
"4699277370774600954",4837,223,1409,111,57,6949,W,I Street Southeast,2022,Controls,1,0
"11245513513992094678",188,22,129,510,185,1039,W,C Street Southwest,2022,Controls,1,0
"3304658131330512618",253,49,854,344,279,1799,W,R Street Northwest,2022,Controls,1,0
"1520392970111189780",0,0,0,551,381,1745,W,K Street Northwest (access road),2022,Controls,1,0
"8973230633252088787",6052,315,3563,262,1402,11649,W,Kenyon Street Northwest,2022,Controls,1,0
"2107032717895501201",927,124,1376,102,2894,5440,W,G Street Northwest,2022,Controls,1,0
"8253092503378141755",1428,98,617,186,1586,3928,W,D Street Northeast,2022,Controls,1,0
"17448012517555888941",204,43,532,549,178,1512,W,M Street Northwest,2022,Study Area,1,2
"10917301579102463950",236,25,247,11,0,532,W,D Street Southwest,2022,Controls,1,0
"17234097163809308865",6826,204,1294,962,1026,10536,W,Franklin Street Northeast,2022,Controls,1,0
"15615378664125730375",1195,174,1924,479,488,4283,W,F Street Northwest,2022,Study Area,1,2
"16042432554466781238",510,82,1242,461,71,2388,W,C Street Northwest,2022,Controls,1,0
"1746240528877108164",480,73,467,332,393,1753,W,O Street Northwest,2022,Study Area,1,2
"17082430862507847370",339,81,498,102,990,2016,W,L Street Northwest,2022,Study Area,1,2
"17521932194081001844",458,87,595,242,261,1755,W,D Street Southwest,2022,Controls,1,0
"13570792567010262928",322,26,294,68,11,744,W,D Street Southwest,2022,Controls,1,0
"13063352890602797769",938,61,789,16,1989,3809,W,G Street Northwest,2022,Controls,1,0
"3537876488028062366",84,12,91,662,904,2168,W,K Street Northwest (access road),2022,Controls,1,0
"17490556819228528602",757,102,838,52,47,1812,W,G Street Northwest,2022,Study Area,1,2
"2635082624886191963",1206,171,606,840,653,3499,W,M Street Northwest,2022,Study Area,1,2
"5861038101738128036",49,7,31,45,355,494,W,Madison Drive Northwest,2022,Controls,1,0
"9698173627693231212",392,53,130,132,144,895,W,R Street Northwest,2022,Controls,1,0
"4022390436375311654",692,163,781,866,81,2585,W,M Street Northeast,2022,Study Area,1,2
"8830091731709138808",188,22,129,510,218,1072,W,C Street Southwest,2022,Controls,1,0
"8695872095158912410",1240,80,474,181,1557,3572,W,D Street Northeast,2022,Controls,1,0
"1973558523952518544",396,38,806,391,1073,2740,W,G Street Northwest,2022,Study Area,1,2
"1088119250532549942",424,55,163,470,150,1309,W,R Street Northwest,2022,Controls,1,0
"5305382753984645453",0,0,0,59,332,420,W,Madison Drive Northwest,2022,Controls,1,0
"16947873519044659150",138,13,38,5,23,889,W,R Street Northwest,2022,Controls,1,0
"12525288988103290206",657,78,489,654,803,2747,W,I Street Southwest,2022,Controls,1,0
"2335035583768245267",5459,172,991,335,133,7221,W,Franklin Street Northeast,2022,Controls,1,0
